t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.56,4.0,4.0,0.7370598456584665,0.7370598452671605,0.7370636848060985,1.5312037594148108e-19,1.4739054540469336e-11,-0.8032338282790145,-0.8032338093444673,-0.803235673729707,3.5851707586664623e-16,3.4056882583883917e-12,-0.737059845658465,-0.7370598452671601,-0.737063716835453,1.5311959395602866e-19,1.4986011272176565e-11
0.57,4.0,4.0,0.7291139893120424,0.7291139888449629,0.7291179164955912,2.1816324642829123e-19,1.542277062598067e-11,-0.7991966161927284,-0.7991965943728422,-0.7991984495643738,4.761074351415526e-16,3.3612515901118637e-12,-0.7291139893120406,-0.7291139888449633,-0.7291179493315646,2.1816127589562124e-19,1.568175463016875e-11
0.58,4.0,4.0,0.7211276453158348,0.721127644760465,0.7211316591594825,3.0843568274086845e-19,1.6110940827994206e-11,-0.7952415631514445,-0.7952415381347626,-0.7952433813272135,6.258343701430238e-16,3.305763127170535e-12,-0.721127645315833,-0.7211276447604645,-0.721131692902942,3.084340796234931e-19,1.638296140522694e-11
0.59,4.0,4.0,0.7131051749229246,0.7131051742652005,0.7131092683017383,4.3260098831138307e-19,1.6755750112328763e-11,-0.7913713242021874,-0.7913712956568473,-0.7913731192342288,8.148364409489873e-16,3.222140029838276e-12,-0.7131051749229229,-0.7131051742651998,-0.7131093068806333,4.3259967391559524e-19,1.7073074520776063e-11
0.6,4.0,4.0,0.7050509427734543,0.7050509419976441,0.7050551207562961,6.018814569046262e-19,1.7455540626392262e-11,-0.787588295224977,-0.7875882627985391,-0.7875900625941867,1.051473872817671e-15,3.1235939236067264e-12,-0.7050509427734526,-0.7050509419976436,-0.7050551599633772,6.018795619969697e-19,1.7784690860186766e-11
0.61,4.0,4.0,0.6969693139068829,0.6969693129954481,0.6969735772417673,8.307134247438114e-19,1.817602433703521e-11,-0.7838946126035207,-0.7838945759228758,-0.7838963515780492,1.345469706967439e-15,3.0240324107259373e-12,-0.6969693139068807,-0.6969693129954481,-0.6969736165058608,8.307093771650669e-19,1.851235798355176e-11
0.62,4.0,4.0,0.6888646507820481,0.688864649715503,0.6888689993457613,1.1375183958966176e-18,1.8910006368021672e-11,-0.7802921536212174,-0.7802921122926014,-0.7802938633581986,1.7080544983218763e-15,2.923200544933095e-12,-0.6888646507820461,-0.6888646497155034,-0.6888690372374262,1.13751318584983e-18,1.924099080200627e-11
0.63,4.0,4.0,0.680741310307387,0.6807413090641579,0.6807457415199076,1.5456188095815874e-18,1.96356444025773e-11,-0.7767825375697003,-0.7767824911788359,-0.7767842166279033,2.1521122971991314e-15,2.8192364491628678e-12,-0.680741310307385,-0.6807413090641594,-0.680745777964621,1.5456099759195373e-18,1.995996117785005e-11
0.64,4.0,4.0,0.6726036408835744,0.67260363943984,0.6726081513692582,2.0843688857556068e-18,2.0344481104122025e-11,-0.7733671275550197,-0.7733670756673479,-0.7733687741292739,2.6923304875066324e-15,2.7112067744824288e-12,-0.6726036408835727,-0.6726036394398407,-0.6726081870630628,2.084362153719132e-18,2.0667747956057e-11
0.65,4.0,4.0,0.6644559794608988,0.6644559777904313,0.6644605660952729,2.7904618091086748e-18,2.1037214881509758e-11,-0.7700470329846446,-0.7700469751456899,-0.7700486451038019,3.3453446850417086e-15,2.5989281772669966e-12,-0.6644559794608973,-0.6644559777904306,-0.6644606015881628,2.7904588417630203e-18,2.1364060458345478e-11
