name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
Z_6,Z,9.7062860263395379e-01,0.0000000000000000e+00,9.9999999998047751e-01,0.0000000000000000e+00,2.9371397346523720e-02
X_7,X,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_7,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_7,Z,9.9163166277360359e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,8.3683372263964051e-03
X_8,X,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_8,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_8,Z,9.9163166277360359e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,8.3683372263964051e-03
X_9,X,0.0000000000000000e+00,0.0000000000000000e+00,6.7201456383277479e-16,0.0000000000000000e+00,6.7201456383277479e-16
Y_9,Y,0.0000000000000000e+00,0.0000000000000000e+00,1.1003954758293755e-16,0.0000000000000000e+00,1.1003954758293755e-16
Z_9,Z,9.8649908767081251e-01,0.0000000000000000e+00,9.9867232553423912e-01,0.0000000000000000e+00,1.2173237863426611e-02
X_10,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2868724507465293e-15,0.0000000000000000e+00,1.2868724507465293e-15
Y_10,Y,0.0000000000000000e+00,0.0000000000000000e+00,8.7007953155255213e-16,0.0000000000000000e+00,8.7007953155255213e-16
Z_10,Z,9.8649908767081251e-01,0.0000000000000000e+00,9.9867232553423924e-01,0.0000000000000000e+00,1.2173237863426722e-02
X_11,X,0.0000000000000000e+00,0.0000000000000000e+00,-7.5611402148859070e-17,0.0000000000000000e+00,7.5611402148859070e-17
Y_11,Y,0.0000000000000000e+00,0.0000000000000000e+00,-9.9920072216264089e-16,0.0000000000000000e+00,9.9920072216264089e-16
Z_11,Z,9.9182628275376994e-01,0.0000000000000000e+00,9.9975215221516800e-01,0.0000000000000000e+00,7.9258694613980607e-03
X_12,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2005673540640235e-16,0.0000000000000000e+00,1.2005673540640235e-16
Y_12,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.4011347081280442e-17,0.0000000000000000e+00,2.4011347081280442e-17
Z_12,Z,9.9182628275376994e-01,0.0000000000000000e+00,9.9975215221516789e-01,0.0000000000000000e+00,7.9258694613979497e-03
X_13,X,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Y_13,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_13,Z,9.7479588173989751e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.5204118260102493e-02
X_14,X,0.0000000000000000e+00,0.0000000000000000e+00,2.9100105827636639e-16,0.0000000000000000e+00,2.9100105827636639e-16
Y_14,Y,0.0000000000000000e+00,0.0000000000000000e+00,-4.8845700626533417e-16,0.0000000000000000e+00,4.8845700626533417e-16
Z_14,Z,9.7479588173989751e-01,0.0000000000000000e+00,9.9999999993477429e-01,0.0000000000000000e+00,2.5204118194876779e-02
X_15,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.5792186940756173e-16,0.0000000000000000e+00,1.5792186940756173e-16
Y_15,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.6807116412525672e-16,0.0000000000000000e+00,2.6807116412525672e-16
Z_15,Z,9.7479588173989418e-01,0.0000000000000000e+00,9.9999346912345888e-01,0.0000000000000000e+00,2.5197587383564701e-02
X_16,X,0.0000000000000000e+00,0.0000000000000000e+00,-5.0074622091742550e-16,0.0000000000000000e+00,5.0074622091742550e-16
Y_16,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.5411523555208016e-16,0.0000000000000000e+00,1.5411523555208016e-16
Z_16,Z,9.7479588173989418e-01,0.0000000000000000e+00,9.9999999994069855e-01,0.0000000000000000e+00,2.5204118200804371e-02
X_17,X,0.0000000000000000e+00,0.0000000000000000e+00,-2.1568339022895186e-16,0.0000000000000000e+00,2.1568339022895186e-16
Y_17,Y,0.0000000000000000e+00,0.0000000000000000e+00,7.6151803736405422e-17,0.0000000000000000e+00,7.6151803736405422e-17
Z_17,Z,9.4836807093753073e-01,0.0000000000000000e+00,9.9480411881827979e-01,0.0000000000000000e+00,4.6436047880749065e-02
X_18,X,0.0000000000000000e+00,0.0000000000000000e+00,3.9832439421549526e-16,0.0000000000000000e+00,3.9832439421549526e-16
Y_18,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.6209098292274712e-17,0.0000000000000000e+00,1.6209098292274712e-17
Z_18,Z,9.4836807093753073e-01,0.0000000000000000e+00,9.9480411881827968e-01,0.0000000000000000e+00,4.6436047880748954e-02
X_19,X,0.0000000000000000e+00,0.0000000000000000e+00,-7.5549394450272036e-17,0.0000000000000000e+00,7.5549394450272036e-17
Y_19,Y,0.0000000000000000e+00,0.0000000000000000e+00,-9.9920072216264089e-16,0.0000000000000000e+00,9.9920072216264089e-16
Z_19,Z,9.8228961373108692e-01,0.0000000000000000e+00,9.9924453413114911e-01,0.0000000000000000e+00,1.6954920400062190e-02
X_20,X,0.0000000000000000e+00,0.0000000000000000e+00,1.1999577732807713e-16,0.0000000000000000e+00,1.1999577732807713e-16
Y_20,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.3999155465615396e-17,0.0000000000000000e+00,2.3999155465615396e-17
Z_20,Z,9.8228961373108692e-01,0.0000000000000000e+00,9.9924453413114911e-01,0.0000000000000000e+00,1.6954920400062190e-02
X_21,X,0.0000000000000000e+00,0.0000000000000000e+00,-4.8328636311620595e-16,0.0000000000000000e+00,4.8328636311620595e-16
Y_21,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.2175802233486895e-16,0.0000000000000000e+00,1.2175802233486895e-16
Z_21,Z,9.8228961373108825e-01,0.0000000000000000e+00,1.0000000000000002e+00,0.0000000000000000e+00,1.7710386268911971e-02
X_22,X,0.0000000000000000e+00,0.0000000000000000e+00,6.3053915726324432e-17,0.0000000000000000e+00,6.3053915726324432e-17
Y_22,Y,0.0000000000000000e+00,0.0000000000000000e+00,3.9699015650545810e-16,0.0000000000000000e+00,3.9699015650545810e-16
Z_22,Z,9.8228961373108825e-01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.7710386268911749e-02
X_23,X,0.0000000000000000e+00,0.0000000000000000e+00,-5.9676063678677566e-17,0.0000000000000000e+00,5.9676063678677566e-17
Y_23,Y,0.0000000000000000e+00,0.0000000000000000e+00,-8.3216324761427655e-18,0.0000000000000000e+00,8.3216324761427655e-18
Z_23,Z,8.4957499106749268e-01,0.0000000000000000e+00,8.9713218770103320e-01,0.0000000000000000e+00,4.7557196633540522e-02
X_24,X,0.0000000000000000e+00,0.0000000000000000e+00,-6.6828645658754087e-16,0.0000000000000000e+00,6.6828645658754087e-16
Y_24,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.2146695676614854e-16,0.0000000000000000e+00,2.2146695676614854e-16
Z_24,Z,8.4957499106749268e-01,0.0000000000000000e+00,8.9713218770103309e-01,0.0000000000000000e+00,4.7557196633540411e-02
X_25,X,0.0000000000000000e+00,0.0000000000000000e+00,8.1259232014579770e-17,0.0000000000000000e+00,8.1259232014579770e-17
Y_25,Y,0.0000000000000000e+00,0.0000000000000000e+00,-4.1236735099057206e-16,0.0000000000000000e+00,4.1236735099057206e-16
Z_25,Z,-9.6978602720909024e-01,0.0000000000000000e+00,-9.9867232553423912e-01,0.0000000000000000e+00,2.8886298325148885e-02
X_26,X,0.0000000000000000e+00,0.0000000000000000e+00,3.6628125648411348e-16,0.0000000000000000e+00,3.6628125648411348e-16
Y_26,Y,0.0000000000000000e+00,0.0000000000000000e+00,-7.6632021794677991e-16,0.0000000000000000e+00,7.6632021794677991e-16
Z_26,Z,-9.6978602720909024e-01,0.0000000000000000e+00,-9.9867232553423924e-01,0.0000000000000000e+00,2.8886298325148996e-02
X_27,X,0.0000000000000000e+00,0.0000000000000000e+00,3.3358068668113439e-16,0.0000000000000000e+00,3.3358068668113439e-16
Y_27,Y,0.0000000000000000e+00,0.0000000000000000e+00,2.7991039478328618e-16,0.0000000000000000e+00,2.7991039478328618e-16
Z_27,Z,-8.5367034518617391e-01,0.0000000000000000e+00,-8.9713218770103320e-01,0.0000000000000000e+00,4.3461842514859295e-02
X_28,X,0.0000000000000000e+00,0.0000000000000000e+00,-5.2824293337508266e-16,0.0000000000000000e+00,5.2824293337508266e-16
Y_28,Y,0.0000000000000000e+00,0.0000000000000000e+00,7.4766759712951593e-16,0.0000000000000000e+00,7.4766759712951593e-16
Z_28,Z,-8.5367034518617391e-01,0.0000000000000000e+00,-8.9713218770103320e-01,0.0000000000000000e+00,4.3461842514859295e-02
X_29,X,0.0000000000000000e+00,0.0000000000000000e+00,-7.7353281301110301e-18,0.0000000000000000e+00,7.7353281301110301e-18
Y_29,Y,0.0000000000000000e+00,0.0000000000000000e+00,-5.2616232423622027e-16,0.0000000000000000e+00,5.2616232423622027e-16
Z_29,Z,-9.5698649880313991e-01,0.0000000000000000e+00,-9.9480411881827979e-01,0.0000000000000000e+00,3.7817620015139886e-02
X_30,X,0.0000000000000000e+00,0.0000000000000000e+00,-4.8669088911688251e-16,0.0000000000000000e+00,4.8669088911688251e-16
Y_30,Y,0.0000000000000000e+00,0.0000000000000000e+00,5.2195290392450796e-16,0.0000000000000000e+00,5.2195290392450796e-16
Z_30,Z,-9.5698649880313991e-01,0.0000000000000000e+00,-9.9480411881827979e-01,0.0000000000000000e+00,3.7817620015139886e-02
X_31,X,0.0000000000000000e+00,0.0000000000000000e+00,-6.4494972063824173e-16,0.0000000000000000e+00,6.4494972063824173e-16
Y_31,Y,0.0000000000000000e+00,0.0000000000000000e+00,-9.9738993067972381e-16,0.0000000000000000e+00,9.9738993067972381e-16
Z_31,Z,-9.5269675564583134e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,4.7303244354168661e-02
X_32,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.4173957845106125e-16,0.0000000000000000e+00,1.4173957845106125e-16
Y_32,Y,0.0000000000000000e+00,0.0000000000000000e+00,-6.6612529828389956e-16,0.0000000000000000e+00,6.6612529828389956e-16
Z_32,Z,-9.5269675564583134e-01,0.0000000000000000e+00,-9.9999999992117616e-01,0.0000000000000000e+00,4.7303244275344825e-02
X_33,X,0.0000000000000000e+00,0.0000000000000000e+00,1.3168914326376232e-15,0.0000000000000000e+00,1.3168914326376232e-15
Y_33,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.0181987060918109e-16,0.0000000000000000e+00,2.0181987060918109e-16
Z_33,Z,-9.5269675564583289e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,4.7303244354167107e-02
X_34,X,0.0000000000000000e+00,0.0000000000000000e+00,-3.4450867507782743e-16,0.0000000000000000e+00,3.4450867507782743e-16
Y_34,Y,0.0000000000000000e+00,0.0000000000000000e+00,-2.3348835994993442e-16,0.0000000000000000e+00,2.3348835994993442e-16
Z_34,Z,-9.5269675564583289e-01,0.0000000000000000e+00,-9.9999999991568800e-01,0.0000000000000000e+00,4.7303244269855105e-02
X_35,X,0.0000000000000000e+00,0.0000000000000000e+00,-2.5962103650459448e-16,0.0000000000000000e+00,2.5962103650459448e-16
Y_35,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.0344189044451945e-16,0.0000000000000000e+00,1.0344189044451945e-16
Z_35,Z,-9.6417214463468215e-01,0.0000000000000000e+00,-9.9924453413114911e-01,0.0000000000000000e+00,3.5072389496466960e-02
X_36,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.0534737267931355e-16,0.0000000000000000e+00,1.0534737267931355e-16
Y_36,Y,0.0000000000000000e+00,0.0000000000000000e+00,-3.0059766228354398e-16,0.0000000000000000e+00,3.0059766228354398e-16
Z_36,Z,-9.6417214463468215e-01,0.0000000000000000e+00,-9.9924453413114911e-01,0.0000000000000000e+00,3.5072389496466960e-02
X_37,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_37,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_37,Z,-9.9327335665592320e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,6.7266433440767992e-03
X_38,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_38,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_38,Z,-9.9327335665592320e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,6.7266433440767992e-03
X_39,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
