gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,projector,95.0,-2.366329722633601e-16,4.6501115730966e-16,5.381726590926578e-32,4.573819510203671e-31,3.1391327920480296e-17,3.1391327920480296e-17
0.1,projector,96.0,-1.2022296424983047e-16,3.1894073211542225e-16,4.5776992508200635e-32,8.274680441349023e-31,2.1042236376776083e-17,2.1042236376776083e-17
0.1,projector,97.0,-9.706608297478774e-17,5.444682010263883e-16,7.041860636819501e-32,5.076219429341208e-31,1.4105032856773367e-17,1.4105032856773367e-17
0.1,projector,98.0,-1.3132519449608202e-16,6.396261693299544e-16,8.986035833734435e-32,5.8686715790266055e-31,9.454886273886542e-18,9.454886273886542e-18
0.1,projector,99.0,-2.6343612709644943e-16,3.918942399264853e-16,6.66516497073182e-32,1.3180785732110073e-31,6.33779980237337e-18,6.33779980237337e-18
0.1,projector,100.0,-2.1807478532890354e-16,4.068061533028952e-16,3.118465765951812e-32,2.6439269422135396e-31,4.248354255291589e-18,4.248354255291589e-18
0.1,projector,101.0,-1.7842796825659526e-16,4.742085459908323e-16,4.251455501325302e-32,4.650928742353155e-31,2.847757019982746e-18,2.847757019982746e-18
0.1,projector,102.0,-3.382944764725916e-16,5.944282371345203e-16,6.037539252765539e-32,7.065073622326237e-31,1.908908616733152e-18,1.908908616733152e-18
0.1,projector,103.0,-2.3472813069828095e-16,-1.7445629685947725e-17,1.7565074258544693e-31,1.0644418990909874e-30,1.2795797118463968e-18,1.2795797118463968e-18
0.1,projector,104.0,-1.719244323509299e-16,-2.0427870230714503e-16,6.524473926306826e-32,3.4430715685425782e-31,8.57727931351148e-19,8.57727931351148e-19
0.1,projector,105.0,-2.385378138284393e-16,-3.3309963844897193e-17,4.2502166807739925e-32,3.994373589264058e-31,5.74952226429356e-19,5.74952226429356e-19
0.1,projector,106.0,-1.6272704366975754e-16,-1.238692378078771e-16,6.009261598358156e-32,2.4112940821729163e-31,3.85402002888417e-19,3.85402002888417e-19
0.1,projector,107.0,-2.921441234946179e-16,-2.4112575163724787e-17,1.3386338316801374e-31,1.824995785347531e-31,2.5834268831839164e-19,2.5834268831839164e-19
0.1,projector,108.0,-2.366329722633601e-16,1.8032626360938956e-16,9.271346932242266e-32,2.8885040602009913e-31,1.7317228272655536e-19,1.7317228272655536e-19
0.1,projector,109.0,-2.74538357342701e-16,2.681916847968625e-16,9.246482480950198e-32,1.4071519829732962e-31,1.1608085252936149e-19,1.1608085252936149e-19
0.1,projector,110.0,-1.4321643595276142e-16,8.516829530582349e-17,5.744284764944981e-32,3.8869043658122945e-32,7.781132241133797e-20,7.781132241133797e-20
0.1,projector,111.0,-4.0950655229068715e-16,4.535806866140339e-17,2.7784550108164957e-31,1.7963130462274423e-31,5.215848922086174e-20,5.215848922086174e-20
0.1,projector,112.0,-3.513015482839223e-16,-1.4321643595276144e-16,2.782684608744123e-31,1.319967129891834e-31,3.496288089567749e-20,3.496288089567749e-20
0.1,projector,113.0,-4.3440486555869736e-16,6.930396114687383e-17,1.502043134471994e-31,5.817063015417372e-31,2.343631993152914e-20,2.343631993152914e-20
0.1,projector,114.0,-3.068926272989161e-16,-2.6057886474883077e-16,1.894388846945665e-31,7.73288621193812e-31,1.5709835055408607e-20,1.5709835055408607e-20
